library	cell_line	control_type	dsb_type	guide_rna	construct	strand	version
yjl089	WT	notControl	2DSBanti	sgCD	antisense	R1	old
yjl089	WT	notControl	2DSBanti	sgCD	antisense	R2	old
yjl090	WT	notControl	2DSBanti	sgCD	antisense	R1	old
yjl090	WT	notControl	2DSBanti	sgCD	antisense	R2	old
yjl091	WT	notControl	2DSBanti	sgCD	antisense	R1	old
yjl091	WT	notControl	2DSBanti	sgCD	antisense	R2	old
yjl092	WT	notControl	2DSBanti	sgCD	antisense	R1	old
yjl092	WT	notControl	2DSBanti	sgCD	antisense	R2	old
yjl093	WT	notControl	2DSBanti	sgCD	splicing	R1	old
yjl093	WT	notControl	2DSBanti	sgCD	splicing	R2	old
yjl094	WT	notControl	2DSBanti	sgCD	splicing	R1	old
yjl094	WT	notControl	2DSBanti	sgCD	splicing	R2	old
yjl095	WT	notControl	2DSBanti	sgCD	splicing	R1	old
yjl095	WT	notControl	2DSBanti	sgCD	splicing	R2	old
yjl096	WT	notControl	2DSBanti	sgCD	splicing	R1	old
yjl096	WT	notControl	2DSBanti	sgCD	splicing	R2	old
yjl217	WT	notControl	2DSB	sgAB	sense	R1	versionNone
yjl217	WT	notControl	2DSB	sgAB	sense	R2	versionNone
yjl218	WT	notControl	2DSB	sgAB	sense	R1	versionNone
yjl218	WT	notControl	2DSB	sgAB	sense	R2	versionNone
yjl219	WT	notControl	2DSB	sgAB	sense	R1	versionNone
yjl219	WT	notControl	2DSB	sgAB	sense	R2	versionNone
yjl220	WT	notControl	2DSB	sgAB	sense	R1	versionNone
yjl220	WT	notControl	2DSB	sgAB	sense	R2	versionNone
yjl221	WT	notControl	2DSB	sgAB	branch	R1	versionNone
yjl221	WT	notControl	2DSB	sgAB	branch	R2	versionNone
yjl222	WT	notControl	2DSB	sgAB	branch	R1	versionNone
yjl222	WT	notControl	2DSB	sgAB	branch	R2	versionNone
yjl223	WT	notControl	2DSB	sgAB	branch	R1	versionNone
yjl223	WT	notControl	2DSB	sgAB	branch	R2	versionNone
yjl224	WT	notControl	2DSB	sgAB	branch	R1	versionNone
yjl224	WT	notControl	2DSB	sgAB	branch	R2	versionNone
yjl225	WT	notControl	2DSB	sgAB	cmv	R1	versionNone
yjl225	WT	notControl	2DSB	sgAB	cmv	R2	versionNone
yjl226	WT	notControl	2DSB	sgAB	cmv	R1	versionNone
yjl226	WT	notControl	2DSB	sgAB	cmv	R2	versionNone
yjl227	WT	notControl	2DSB	sgAB	cmv	R1	versionNone
yjl227	WT	notControl	2DSB	sgAB	cmv	R2	versionNone
yjl228	WT	notControl	2DSB	sgAB	cmv	R1	versionNone
yjl228	WT	notControl	2DSB	sgAB	cmv	R2	versionNone
yjl229	KO	notControl	2DSB	sgAB	sense	R1	versionNone
yjl229	KO	notControl	2DSB	sgAB	sense	R2	versionNone
yjl230	KO	notControl	2DSB	sgAB	sense	R1	versionNone
yjl230	KO	notControl	2DSB	sgAB	sense	R2	versionNone
yjl231	KO	notControl	2DSB	sgAB	sense	R1	versionNone
yjl231	KO	notControl	2DSB	sgAB	sense	R2	versionNone
yjl232	KO	notControl	2DSB	sgAB	sense	R1	versionNone
yjl232	KO	notControl	2DSB	sgAB	sense	R2	versionNone
yjl233	KO	notControl	2DSB	sgAB	branch	R1	versionNone
yjl233	KO	notControl	2DSB	sgAB	branch	R2	versionNone
yjl234	KO	notControl	2DSB	sgAB	branch	R1	versionNone
yjl234	KO	notControl	2DSB	sgAB	branch	R2	versionNone
yjl235	KO	notControl	2DSB	sgAB	branch	R1	versionNone
yjl235	KO	notControl	2DSB	sgAB	branch	R2	versionNone
yjl236	KO	notControl	2DSB	sgAB	branch	R1	versionNone
yjl236	KO	notControl	2DSB	sgAB	branch	R2	versionNone
yjl237	KO	notControl	2DSB	sgAB	cmv	R1	versionNone
yjl237	KO	notControl	2DSB	sgAB	cmv	R2	versionNone
yjl238	KO	notControl	2DSB	sgAB	cmv	R1	versionNone
yjl238	KO	notControl	2DSB	sgAB	cmv	R2	versionNone
yjl239	KO	notControl	2DSB	sgAB	cmv	R1	versionNone
yjl239	KO	notControl	2DSB	sgAB	cmv	R2	versionNone
yjl240	KO	notControl	2DSB	sgAB	cmv	R1	versionNone
yjl240	KO	notControl	2DSB	sgAB	cmv	R2	versionNone
